Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[organism]	Characteristics[cultivar]	Characteristics[developmental stage]	Characteristics[sampling time point]	Characteristics[organism part]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[organism part]	FactorValue[developmental stage]	FactorValue[sampling time point]
GSM534642	Gene expression of 0.3-0.6 mm anther	0.3-0.6 mm anther, replicate 1	Anther_0.3-0.6 mm_rep1	Oryza sativa Japonica Group	Nipponbare	0.3-0.6 mm	Daytime	anther	P-GSE21396-2	P-GSE21396-3	GSM534642 extract 1	total RNA	P-GSE21396-4	GSM534642 LE 1	Cy3	P-GSE21396-5	GSM534642	A-GEOD-6864	P-GSE21396-6	P-GSE21396-7	GSM534642_US22502560_251524111237_S01_GE1-v5_95_Feb07_1_3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.raw.1.zip	P-GSE21396-1	GSM534642_sample_table.txt norm	GSM534642_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.processed.1.zip	anther	0.3-0.6 mm	Daytime
GSM534695	Gene expression of embryo at 7 days after flowering	Embryo at 7 days after flowering, replicate 3	Embryo_07 DAF_rep3	Oryza sativa Japonica Group	Nipponbare	7 days after flowering	Daytime 10:00~12:00	embryo	P-GSE21396-2	P-GSE21396-3	GSM534695 extract 1	total RNA	P-GSE21396-4	GSM534695 LE 1	Cy3	P-GSE21396-5	GSM534695	A-GEOD-6864	P-GSE21396-6	P-GSE21396-7	GSM534695_US22502560_251524111486_S01_GE1-v5_95_Feb07_1_3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.raw.1.zip	P-GSE21396-1	GSM534695_sample_table.txt norm	GSM534695_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.processed.1.zip	embryo	7 days after flowering	Daytime 10:00~12:00
GSM534694	Gene expression of embryo at 7 days after flowering	Embryo at 7 days after flowering, replicate 2	Embryo_07 DAF_rep2	Oryza sativa Japonica Group	Nipponbare	7 days after flowering	Daytime 10:00~12:00	embryo	P-GSE21396-2	P-GSE21396-3	GSM534694 extract 1	total RNA	P-GSE21396-4	GSM534694 LE 1	Cy3	P-GSE21396-5	GSM534694	A-GEOD-6864	P-GSE21396-6	P-GSE21396-7	GSM534694_US22502560_251524111486_S01_GE1-v5_95_Feb07_1_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.raw.1.zip	P-GSE21396-1	GSM534694_sample_table.txt norm	GSM534694_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.processed.1.zip	embryo	7 days after flowering	Daytime 10:00~12:00
GSM534693	Gene expression of embryo at 7 days after flowering	Embryo at 7 days after flowering, replicate 1	Embryo_07 DAF_rep1	Oryza sativa Japonica Group	Nipponbare	7 days after flowering	Daytime 10:00~12:00	embryo	P-GSE21396-2	P-GSE21396-3	GSM534693 extract 1	total RNA	P-GSE21396-4	GSM534693 LE 1	Cy3	P-GSE21396-5	GSM534693	A-GEOD-6864	P-GSE21396-6	P-GSE21396-7	GSM534693_US22502560_251524111486_S01_GE1-v5_95_Feb07_1_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.raw.1.zip	P-GSE21396-1	GSM534693_sample_table.txt norm	GSM534693_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.processed.1.zip	embryo	7 days after flowering	Daytime 10:00~12:00
GSM534707	Gene expression of embryo at 42 days after flowering	Embryo at 42 days after flowering, replicate 3	Embryo_42 DAF_rep3	Oryza sativa Japonica Group	Nipponbare	42 days after flowering	Daytime 10:00~12:00	embryo	P-GSE21396-2	P-GSE21396-3	GSM534707 extract 1	total RNA	P-GSE21396-4	GSM534707 LE 1	Cy3	P-GSE21396-5	GSM534707	A-GEOD-6864	P-GSE21396-6	P-GSE21396-7	GSM534707_US22502560_251524111401_S01_GE1-v5_95_Feb07_1_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.raw.1.zip	P-GSE21396-1	GSM534707_sample_table.txt norm	GSM534707_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.processed.1.zip	embryo	42 days after flowering	Daytime 10:00~12:00
GSM534706	Gene expression of embryo at 42 days after flowering	Embryo at 42 days after flowering, replicate 2	Embryo_42 DAF_rep2	Oryza sativa Japonica Group	Nipponbare	42 days after flowering	Daytime 10:00~12:00	embryo	P-GSE21396-2	P-GSE21396-3	GSM534706 extract 1	total RNA	P-GSE21396-4	GSM534706 LE 1	Cy3	P-GSE21396-5	GSM534706	A-GEOD-6864	P-GSE21396-6	P-GSE21396-7	GSM534706_US22502590_251524111400_S02_GE1-v5_95_Feb07_1_4.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.raw.1.zip	P-GSE21396-1	GSM534706_sample_table.txt norm	GSM534706_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.processed.1.zip	embryo	42 days after flowering	Daytime 10:00~12:00
GSM534705	Gene expression of embryo at 42 days after flowering	Embryo at 42 days after flowering, replicate 1	Embryo_42 DAF_rep1	Oryza sativa Japonica Group	Nipponbare	42 days after flowering	Daytime 10:00~12:00	embryo	P-GSE21396-2	P-GSE21396-3	GSM534705 extract 1	total RNA	P-GSE21396-4	GSM534705 LE 1	Cy3	P-GSE21396-5	GSM534705	A-GEOD-6864	P-GSE21396-6	P-GSE21396-7	GSM534705_US22502590_251524111400_S02_GE1-v5_95_Feb07_1_3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.raw.1.zip	P-GSE21396-1	GSM534705_sample_table.txt norm	GSM534705_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.processed.1.zip	embryo	42 days after flowering	Daytime 10:00~12:00
GSM534704	Gene expression of embryo at 28 days after flowering	Embryo at 28 days after flowering, replicate 3	Embryo_28 DAF_rep3	Oryza sativa Japonica Group	Nipponbare	28 days after flowering	Daytime 10:00~12:00	embryo	P-GSE21396-2	P-GSE21396-3	GSM534704 extract 1	total RNA	P-GSE21396-4	GSM534704 LE 1	Cy3	P-GSE21396-5	GSM534704	A-GEOD-6864	P-GSE21396-6	P-GSE21396-7	GSM534704_US22502590_251524111400_S02_GE1-v5_95_Feb07_1_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.raw.1.zip	P-GSE21396-1	GSM534704_sample_table.txt norm	GSM534704_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.processed.1.zip	embryo	28 days after flowering	Daytime 10:00~12:00
GSM534703	Gene expression of embryo at 28 days after flowering	Embryo at 28 days after flowering, replicate 2	Embryo_28 DAF_rep2	Oryza sativa Japonica Group	Nipponbare	28 days after flowering	Daytime 10:00~12:00	embryo	P-GSE21396-2	P-GSE21396-3	GSM534703 extract 1	total RNA	P-GSE21396-4	GSM534703 LE 1	Cy3	P-GSE21396-5	GSM534703	A-GEOD-6864	P-GSE21396-6	P-GSE21396-7	GSM534703_US22502590_251524111400_S02_GE1-v5_95_Feb07_1_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.raw.1.zip	P-GSE21396-1	GSM534703_sample_table.txt norm	GSM534703_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.processed.1.zip	embryo	28 days after flowering	Daytime 10:00~12:00
GSM534702	Gene expression of embryo at 28 days after flowering	Embryo at 28 days after flowering, replicate 1	Embryo_28 DAF_rep1	Oryza sativa Japonica Group	Nipponbare	28 days after flowering	Daytime 10:00~12:00	embryo	P-GSE21396-2	P-GSE21396-3	GSM534702 extract 1	total RNA	P-GSE21396-4	GSM534702 LE 1	Cy3	P-GSE21396-5	GSM534702	A-GEOD-6864	P-GSE21396-6	P-GSE21396-7	GSM534702_US22502590_251524111399_S01_GE1-v5_95_Feb07_1_4.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.raw.1.zip	P-GSE21396-1	GSM534702_sample_table.txt norm	GSM534702_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.processed.1.zip	embryo	28 days after flowering	Daytime 10:00~12:00
GSM534701	Gene expression of embryo at 14 days after flowering	Embryo at 14 days after flowering, replicate 3	Embryo_14 DAF_rep3	Oryza sativa Japonica Group	Nipponbare	14 days after flowering	Daytime 10:00~12:00	embryo	P-GSE21396-2	P-GSE21396-3	GSM534701 extract 1	total RNA	P-GSE21396-4	GSM534701 LE 1	Cy3	P-GSE21396-5	GSM534701	A-GEOD-6864	P-GSE21396-6	P-GSE21396-7	GSM534701_US22502560_251524111040_S01_GE1-v5_95_Feb07_1_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.raw.1.zip	P-GSE21396-1	GSM534701_sample_table.txt norm	GSM534701_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.processed.1.zip	embryo	14 days after flowering	Daytime 10:00~12:00
GSM534700	Gene expression of embryo at 14 days after flowering	Embryo at 14 days after flowering, replicate 2	Embryo_14 DAF_rep2	Oryza sativa Japonica Group	Nipponbare	14 days after flowering	Daytime 10:00~12:00	embryo	P-GSE21396-2	P-GSE21396-3	GSM534700 extract 1	total RNA	P-GSE21396-4	GSM534700 LE 1	Cy3	P-GSE21396-5	GSM534700	A-GEOD-6864	P-GSE21396-6	P-GSE21396-7	GSM534700_US22502560_251524111039_S01_GE1-v5_95_Feb07_1_4.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.raw.1.zip	P-GSE21396-1	GSM534700_sample_table.txt norm	GSM534700_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.processed.1.zip	embryo	14 days after flowering	Daytime 10:00~12:00
GSM534699	Gene expression of embryo at 14 days after flowering	Embryo at 14 days after flowering, replicate 1	Embryo_14 DAF_rep1	Oryza sativa Japonica Group	Nipponbare	14 days after flowering	Daytime 10:00~12:00	embryo	P-GSE21396-2	P-GSE21396-3	GSM534699 extract 1	total RNA	P-GSE21396-4	GSM534699 LE 1	Cy3	P-GSE21396-5	GSM534699	A-GEOD-6864	P-GSE21396-6	P-GSE21396-7	GSM534699_US22502560_251524111039_S01_GE1-v5_95_Feb07_1_3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.raw.1.zip	P-GSE21396-1	GSM534699_sample_table.txt norm	GSM534699_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.processed.1.zip	embryo	14 days after flowering	Daytime 10:00~12:00
GSM534698	Gene expression of embryo at 10 days after flowering	Embryo at 10 days after flowering, replicate 3	Embryo_10 DAF_rep3	Oryza sativa Japonica Group	Nipponbare	10 days after flowering	Daytime 10:00~12:00	embryo	P-GSE21396-2	P-GSE21396-3	GSM534698 extract 1	total RNA	P-GSE21396-4	GSM534698 LE 1	Cy3	P-GSE21396-5	GSM534698	A-GEOD-6864	P-GSE21396-6	P-GSE21396-7	GSM534698_US22502560_251524111039_S01_GE1-v5_95_Feb07_1_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.raw.2.zip	P-GSE21396-1	GSM534698_sample_table.txt norm	GSM534698_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.processed.1.zip	embryo	10 days after flowering	Daytime 10:00~12:00
GSM534697	Gene expression of embryo at 10 days after flowering	Embryo at 10 days after flowering, replicate 2	Embryo_10 DAF_rep2	Oryza sativa Japonica Group	Nipponbare	10 days after flowering	Daytime 10:00~12:00	embryo	P-GSE21396-2	P-GSE21396-3	GSM534697 extract 1	total RNA	P-GSE21396-4	GSM534697 LE 1	Cy3	P-GSE21396-5	GSM534697	A-GEOD-6864	P-GSE21396-6	P-GSE21396-7	GSM534697_US22502560_251524111039_S01_GE1-v5_95_Feb07_1_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.raw.2.zip	P-GSE21396-1	GSM534697_sample_table.txt norm	GSM534697_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.processed.1.zip	embryo	10 days after flowering	Daytime 10:00~12:00
GSM534696	Gene expression of embryo at 10 days after flowering	Embryo at 10 days after flowering, replicate 1	Embryo_10 DAF_rep1	Oryza sativa Japonica Group	Nipponbare	10 days after flowering	Daytime 10:00~12:00	embryo	P-GSE21396-2	P-GSE21396-3	GSM534696 extract 1	total RNA	P-GSE21396-4	GSM534696 LE 1	Cy3	P-GSE21396-5	GSM534696	A-GEOD-6864	P-GSE21396-6	P-GSE21396-7	GSM534696_US22502560_251524111486_S01_GE1-v5_95_Feb07_1_4.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.raw.2.zip	P-GSE21396-1	GSM534696_sample_table.txt norm	GSM534696_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.processed.1.zip	embryo	10 days after flowering	Daytime 10:00~12:00
GSM534710	Gene expression of endosperm at 7 days after flowering	Endosperm at 7 days after flowering, replicate 3	Endosperm_07 DAF_rep3	Oryza sativa Japonica Group	Nipponbare	7 days after flowering	Daytime 10:00~12:00	endosperm	P-GSE21396-2	P-GSE21396-3	GSM534710 extract 1	total RNA	P-GSE21396-4	GSM534710 LE 1	Cy3	P-GSE21396-5	GSM534710	A-GEOD-6864	P-GSE21396-6	P-GSE21396-7	GSM534710_US22502560_251524111401_S01_GE1-v5_95_Feb07_1_4.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.raw.2.zip	P-GSE21396-1	GSM534710_sample_table.txt norm	GSM534710_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.processed.1.zip	endosperm	7 days after flowering	Daytime 10:00~12:00
GSM534709	Gene expression of endosperm at 7 days after flowering	Endosperm at 7 days after flowering, replicate 2	Endosperm_07 DAF_rep2	Oryza sativa Japonica Group	Nipponbare	7 days after flowering	Daytime 10:00~12:00	endosperm	P-GSE21396-2	P-GSE21396-3	GSM534709 extract 1	total RNA	P-GSE21396-4	GSM534709 LE 1	Cy3	P-GSE21396-5	GSM534709	A-GEOD-6864	P-GSE21396-6	P-GSE21396-7	GSM534709_US22502560_251524111401_S01_GE1-v5_95_Feb07_1_3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.raw.2.zip	P-GSE21396-1	GSM534709_sample_table.txt norm	GSM534709_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.processed.1.zip	endosperm	7 days after flowering	Daytime 10:00~12:00
GSM534708	Gene expression of endosperm at 7 days after flowering	Endosperm at 7 days after flowering, replicate 1	Endosperm_07 DAF_rep1	Oryza sativa Japonica Group	Nipponbare	7 days after flowering	Daytime 10:00~12:00	endosperm	P-GSE21396-2	P-GSE21396-3	GSM534708 extract 1	total RNA	P-GSE21396-4	GSM534708 LE 1	Cy3	P-GSE21396-5	GSM534708	A-GEOD-6864	P-GSE21396-6	P-GSE21396-7	GSM534708_US22502560_251524111401_S01_GE1-v5_95_Feb07_1_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.raw.2.zip	P-GSE21396-1	GSM534708_sample_table.txt norm	GSM534708_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21396/E-GEOD-21396.processed.1.zip	endosperm	7 days after flowering	Daytime 10:00~12:00
